raceid,year,round,round_winner,lap_time_in_seconds,circuitid,name,latitude,longitude,Num of Circuit Usage,constructors,position,constructor_year,Podiums for 5 years,Num_podiums
985,2017,17,Lewis Hamilton,5630.991,69,United States Grand Prix,30.1328,-97.6411,5,,,,,
986,2017,18,Max Verstappen,5786.552,32,Mexican Grand Prix,19.4042,-99.0907,5,,,,,
987,2017,19,Sebastian Vettel,5486.262,18,Brazilian Grand Prix,-23.7036,-46.6997,5,,,,,
988,2017,20,Valtteri Bottas,5654.062,24,Abu Dhabi Grand Prix,24.4672,54.6031,5,,,,,
989,2018,1,Sebastian Vettel,5373.283,1,Australian Grand Prix,-37.8497,144.968,5,,,,,
990,2018,2,Sebastian Vettel,5521.94,3,Bahrain Grand Prix,26.0325,50.5106,5,,,,,
991,2018,3,Daniel Ricciardo,5736.38,17,Chinese Grand Prix,31.3389,121.22,5,,,,,
992,2018,4,Lewis Hamilton,6224.291,73,Azerbaijan Grand Prix,40.3725,49.8533,3,,,,,
993,2018,5,Lewis Hamilton,5729.972,4,Spanish Grand Prix,41.57,2.26111,5,,,,,
994,2018,6,Daniel Ricciardo,6174.807,6,Monaco Grand Prix,43.7347,7.42056,5,,,,,
995,2018,7,Sebastian Vettel,5311.377,7,Canadian Grand Prix,45.5,-73.5228,5,,,,,
996,2018,8,Lewis Hamilton,5411.385,34,French Grand Prix,43.2506,5.79167,2,,,,,
997,2018,9,Max Verstappen,4196.024,70,Austrian Grand Prix,47.2197,14.7647,5,,,,,
998,2018,10,Sebastian Vettel,5249.784,9,British Grand Prix,52.0786,-1.01694,5,,,,,
999,2018,11,Lewis Hamilton,5549.845,10,German Grand Prix,49.3278,8.56583,3,,,,,
1000,2018,12,Lewis Hamilton,5836.427,11,Hungarian Grand Prix,47.5789,19.2486,5,,,,,
1001,2018,13,Sebastian Vettel,5014.476,13,Belgian Grand Prix,50.4372,5.97139,5,,,,,
1002,2018,14,Lewis Hamilton,4614.484,14,Italian Grand Prix,45.6156,9.28111,5,,,,,
1003,2018,15,Lewis Hamilton,6671.611,15,Singapore Grand Prix,1.2914,103.864,5,,,,,
1004,2018,16,Lewis Hamilton,5245.181,71,Russian Grand Prix,43.4057,39.9578,5,,,,,
1005,2018,17,Lewis Hamilton,5237.062,22,Japanese Grand Prix,34.8431,136.541,5,,,,,
1006,2018,18,Kimi Raikkonen,5658.643,69,United States Grand Prix,30.1328,-97.6411,5,,,,,
1007,2018,19,Max Verstappen,5908.851,32,Mexican Grand Prix,19.4042,-99.0907,5,,,,,
1008,2018,20,Lewis Hamilton,5229.066,18,Brazilian Grand Prix,-23.7036,-46.6997,5,,,,,
1009,2018,21,Lewis Hamilton,5980.382,24,Abu Dhabi Grand Prix,24.4672,54.6031,5,,,,,
1010,2019,1,Valtteri Bottas,5127.325,1,Australian Grand Prix,-37.8497,144.968,5,,,,,
1011,2019,2,Lewis Hamilton,5661.295,3,Bahrain Grand Prix,26.0325,50.5106,5,,,,,
1012,2019,3,Lewis Hamilton,5526.35,17,Chinese Grand Prix,31.3389,121.22,5,,,,,
1013,2019,4,Valtteri Bottas,5512.942,73,Azerbaijan Grand Prix,40.3725,49.8533,3,,,,,
1014,2019,5,Lewis Hamilton,5750.443,4,Spanish Grand Prix,41.57,2.26111,5,,,,,
1015,2019,6,Lewis Hamilton,6208.437,6,Monaco Grand Prix,43.7347,7.42056,5,,,,,
1016,2019,7,Lewis Hamilton,5347.084,7,Canadian Grand Prix,45.5,-73.5228,5,,,,,
1017,2019,8,Lewis Hamilton,5071.198,34,French Grand Prix,43.2506,5.79167,2,,,,,
1018,2019,9,Max Verstappen,4921.822,70,Austrian Grand Prix,47.2197,14.7647,5,,,,,
1019,2019,10,Lewis Hamilton,4868.452,9,British Grand Prix,52.0786,-1.01694,5,,,,,
1020,2019,11,Max Verstappen,6271.275,10,German Grand Prix,49.3278,8.56583,3,,,,,
1021,2019,12,Lewis Hamilton,5703.796,11,Hungarian Grand Prix,47.5789,19.2486,5,,,,,
1022,2019,13,Charles Leclerc,5025.71,13,Belgian Grand Prix,50.4372,5.97139,5,,,,,
1023,2019,14,Charles Leclerc,4526.665,14,Italian Grand Prix,45.6156,9.28111,5,,,,,
1024,2019,15,Sebastian Vettel,7113.667,15,Singapore Grand Prix,1.2914,103.864,5,,,,,
1025,2019,16,Lewis Hamilton,5618.992,71,Russian Grand Prix,43.4057,39.9578,5,,,,,
1026,2019,17,Valtteri Bottas,4906.755,22,Japanese Grand Prix,34.8431,136.541,5,,,,,
1027,2019,18,Lewis Hamilton,5808.904,32,Mexican Grand Prix,19.4042,-99.0907,5,,,,,
1028,2019,19,Valtteri Bottas,5615.653,69,United States Grand Prix,30.1328,-97.6411,5,,,,,
1029,2019,20,Max Verstappen,5594.678,18,Brazilian Grand Prix,-23.7036,-46.6997,5,,,,,
1030,2019,21,Lewis Hamilton,5645.715,24,Abu Dhabi Grand Prix,24.4672,54.6031,5,,,,,
